observable_index	zero	fixed_small
0.000000000000000000e+00	0.000000000000000000e+00	8.414709848078965053e-05
1.000000000000000000e+00	0.000000000000000000e+00	9.092974268256817779e-05
2.000000000000000000e+00	0.000000000000000000e+00	1.411200080598672139e-05
3.000000000000000000e+00	0.000000000000000000e+00	-7.568024953079283211e-05
4.000000000000000000e+00	0.000000000000000000e+00	-9.589242746631384748e-05
5.000000000000000000e+00	0.000000000000000000e+00	-2.794154981989258599e-05
6.000000000000000000e+00	0.000000000000000000e+00	6.569865987187890660e-05
7.000000000000000000e+00	0.000000000000000000e+00	9.893582466233818691e-05
8.000000000000000000e+00	0.000000000000000000e+00	4.121184852417566206e-05
9.000000000000000000e+00	0.000000000000000000e+00	-5.440211108893697769e-05
1.000000000000000000e+01	0.000000000000000000e+00	-9.999902065507034876e-05
1.100000000000000000e+01	0.000000000000000000e+00	-5.365729180004349713e-05
1.200000000000000000e+01	0.000000000000000000e+00	4.201670368266409162e-05
1.300000000000000000e+01	0.000000000000000000e+00	9.906073556948703784e-05
1.400000000000000000e+01	0.000000000000000000e+00	6.502878401571168809e-05
1.500000000000000000e+01	0.000000000000000000e+00	-2.879033166650653224e-05
1.600000000000000000e+01	0.000000000000000000e+00	-9.613974918795568719e-05
1.700000000000000000e+01	0.000000000000000000e+00	-7.509872467716761707e-05
1.800000000000000000e+01	0.000000000000000000e+00	1.498772096629523558e-05
1.900000000000000000e+01	0.000000000000000000e+00	9.129452507276277276e-05
2.000000000000000000e+01	0.000000000000000000e+00	8.366556385360560393e-05
2.100000000000000000e+01	0.000000000000000000e+00	-8.851309290403876630e-07
2.200000000000000000e+01	0.000000000000000000e+00	-8.462204041751706122e-05
2.300000000000000000e+01	0.000000000000000000e+00	-9.055783620066239052e-05
2.400000000000000000e+01	0.000000000000000000e+00	-1.323517500977730288e-05
2.500000000000000000e+01	0.000000000000000000e+00	7.625584504796027166e-05
2.600000000000000000e+01	0.000000000000000000e+00	9.563759284045030733e-05
2.700000000000000000e+01	0.000000000000000000e+00	2.709057883078690710e-05
2.800000000000000000e+01	0.000000000000000000e+00	-6.636338842129675545e-05
2.900000000000000000e+01	0.000000000000000000e+00	-9.880316240928618354e-05
3.000000000000000000e+01	0.000000000000000000e+00	-4.040376453230650123e-05
3.100000000000000000e+01	0.000000000000000000e+00	5.514266812416906245e-05
3.200000000000000000e+01	0.000000000000000000e+00	9.999118601072671760e-05
3.300000000000000000e+01	0.000000000000000000e+00	5.290826861200238746e-05
3.400000000000000000e+01	0.000000000000000000e+00	-4.281826694961510509e-05
3.500000000000000000e+01	0.000000000000000000e+00	-9.917788534431157830e-05
3.600000000000000000e+01	0.000000000000000000e+00	-6.435381333569994923e-05
3.700000000000000000e+01	0.000000000000000000e+00	2.963685787093853433e-05
3.800000000000000000e+01	0.000000000000000000e+00	9.637953862840878167e-05
3.900000000000000000e+01	0.000000000000000000e+00	7.451131604793488508e-05
4.000000000000000000e+01	0.000000000000000000e+00	-1.586226688047090021e-05
4.100000000000000000e+01	0.000000000000000000e+00	-9.165215479156337919e-05
4.200000000000000000e+01	0.000000000000000000e+00	-8.317747426285983952e-05
4.300000000000000000e+01	0.000000000000000000e+00	1.770192510541357759e-06
4.400000000000000000e+01	0.000000000000000000e+00	8.509035245341184731e-05
4.500000000000000000e+01	0.000000000000000000e+00	9.017883476488092014e-05
4.600000000000000000e+01	0.000000000000000000e+00	1.235731227452240131e-05
4.700000000000000000e+01	0.000000000000000000e+00	-7.682546613236668426e-05
4.800000000000000000e+01	0.000000000000000000e+00	-9.537526527594719216e-05
4.900000000000000000e+01	0.000000000000000000e+00	-2.623748537039287762e-05
5.000000000000000000e+01	0.000000000000000000e+00	6.702291758433747424e-05
5.100000000000000000e+01	0.000000000000000000e+00	9.866275920404854417e-05
5.200000000000000000e+01	0.000000000000000000e+00	3.959251501818341739e-05
5.300000000000000000e+01	0.000000000000000000e+00	-5.587890488516162940e-05
5.400000000000000000e+01	0.000000000000000000e+00	-9.997551733586199248e-05
5.500000000000000000e+01	0.000000000000000000e+00	-5.215510020869118957e-05
5.600000000000000000e+01	0.000000000000000000e+00	4.361647552478249798e-05
5.700000000000000000e+01	0.000000000000000000e+00	9.928726480845371572e-05
5.800000000000000000e+01	0.000000000000000000e+00	6.367380071391379149e-05
5.900000000000000000e+01	0.000000000000000000e+00	-3.048106211022167132e-05
6.000000000000000000e+01	0.000000000000000000e+00	-9.661177700083929372e-05
6.100000000000000000e+01	0.000000000000000000e+00	-7.391806966492228811e-05
6.200000000000000000e+01	0.000000000000000000e+00	1.673557003028069341e-05
6.300000000000000000e+01	0.000000000000000000e+00	9.200260381967906233e-05
6.400000000000000000e+01	0.000000000000000000e+00	8.268286794901035799e-05
6.500000000000000000e+01	0.000000000000000000e+00	-2.655115402396679470e-06
6.600000000000000000e+01	0.000000000000000000e+00	-8.555199789753223361e-05
6.700000000000000000e+01	0.000000000000000000e+00	-8.979276806892913336e-05
6.800000000000000000e+01	0.000000000000000000e+00	-1.147848137831872270e-05
6.900000000000000000e+01	0.000000000000000000e+00	7.738906815578891517e-05
7.000000000000000000e+01	0.000000000000000000e+00	9.510546532543747529e-05
7.100000000000000000e+01	0.000000000000000000e+00	2.538233627620362835e-05
7.200000000000000000e+01	0.000000000000000000e+00	-6.767719568873075927e-05
7.300000000000000000e+01	0.000000000000000000e+00	-9.851462604682474514e-05
7.400000000000000000e+01	0.000000000000000000e+00	-3.877816354094304951e-05
7.500000000000000000e+01	0.000000000000000000e+00	5.661076368981803736e-05
7.600000000000000000e+01	0.000000000000000000e+00	9.995201585807313627e-05
7.700000000000000000e+01	0.000000000000000000e+00	5.139784559875352376e-05
7.800000000000000000e+01	0.000000000000000000e+00	-4.441126687075083859e-05
7.900000000000000000e+01	0.000000000000000000e+00	-9.938886539233752018e-05
8.000000000000000000e+01	0.000000000000000000e+00	-6.298879942744538480e-05
8.100000000000000000e+01	0.000000000000000000e+00	3.132287824330851772e-05
8.200000000000000000e+01	0.000000000000000000e+00	9.683644611001854729e-05
8.300000000000000000e+01	0.000000000000000000e+00	7.331903200732922167e-05
